AC_NAME,AC_NO,PARTY,VOTES,YEAR
Constituency_1,1,INC,95306,2006
Constituency_1,1,BJP,30335,2006
Constituency_1,1,CPM,86440,2006
Constituency_1,1,AITC,16553,2006
Constituency_1,1,DMK,43345,2006
Constituency_1,1,AIADMK,95032,2006
Constituency_1,1,OTHERS,89358,2006
Constituency_2,2,INC,59977,2006
Constituency_2,2,BJP,45795,2006
Constituency_2,2,CPM,16305,2006
Constituency_2,2,AITC,34697,2006
Constituency_2,2,DMK,45253,2006
Constituency_2,2,AIADMK,32582,2006
Constituency_2,2,OTHERS,93093,2006
Constituency_3,3,INC,38721,2006
Constituency_3,3,BJP,56858,2006
Constituency_3,3,CPM,80213,2006
Constituency_3,3,AITC,81299,2006
Constituency_3,3,DMK,79783,2006
Constituency_3,3,AIADMK,19691,2006
Constituency_3,3,OTHERS,96214,2006
Constituency_4,4,INC,90383,2006
Constituency_4,4,BJP,27671,2006
Constituency_4,4,CPM,76087,2006
Constituency_4,4,AITC,13235,2006
Constituency_4,4,DMK,50253,2006
Constituency_4,4,AIADMK,98133,2006
Constituency_4,4,OTHERS,18100,2006
Constituency_5,5,INC,65454,2006
Constituency_5,5,BJP,46701,2006
Constituency_5,5,CPM,21403,2006
Constituency_5,5,AITC,41176,2006
Constituency_5,5,DMK,71338,2006
Constituency_5,5,AIADMK,45094,2006
Constituency_5,5,OTHERS,63581,2006
Constituency_6,6,INC,94760,2006
Constituency_6,6,BJP,38094,2006
Constituency_6,6,CPM,80597,2006
Constituency_6,6,AITC,22369,2006
Constituency_6,6,DMK,27477,2006
Constituency_6,6,AIADMK,83329,2006
Constituency_6,6,OTHERS,60557,2006
Constituency_7,7,INC,26402,2006
Constituency_7,7,BJP,15037,2006
Constituency_7,7,CPM,63147,2006
Constituency_7,7,AITC,84688,2006
Constituency_7,7,DMK,24630,2006
Constituency_7,7,AIADMK,36574,2006
Constituency_7,7,OTHERS,54357,2006
Constituency_8,8,INC,37020,2006
Constituency_8,8,BJP,67340,2006
Constituency_8,8,CPM,83072,2006
Constituency_8,8,AITC,28054,2006
Constituency_8,8,DMK,72307,2006
Constituency_8,8,AIADMK,98897,2006
Constituency_8,8,OTHERS,54819,2006
Constituency_9,9,INC,77939,2006
Constituency_9,9,BJP,68483,2006
Constituency_9,9,CPM,32815,2006
Constituency_9,9,AITC,78182,2006
Constituency_9,9,DMK,58092,2006
Constituency_9,9,AIADMK,69910,2006
Constituency_9,9,OTHERS,53892,2006
Constituency_10,10,INC,95939,2006
Constituency_10,10,BJP,32482,2006
Constituency_10,10,CPM,24295,2006
Constituency_10,10,AITC,60135,2006
Constituency_10,10,DMK,70109,2006
Constituency_10,10,AIADMK,95362,2006
Constituency_10,10,OTHERS,62186,2006
Constituency_11,11,INC,97653,2006
Constituency_11,11,BJP,78609,2006
Constituency_11,11,CPM,15590,2006
Constituency_11,11,AITC,19674,2006
Constituency_11,11,DMK,85359,2006
Constituency_11,11,AIADMK,24905,2006
Constituency_11,11,OTHERS,13646,2006
Constituency_12,12,INC,30837,2006
Constituency_12,12,BJP,52310,2006
Constituency_12,12,CPM,29968,2006
Constituency_12,12,AITC,26306,2006
Constituency_12,12,DMK,65668,2006
Constituency_12,12,AIADMK,53355,2006
Constituency_12,12,OTHERS,47342,2006
Constituency_13,13,INC,52082,2006
Constituency_13,13,BJP,32956,2006
Constituency_13,13,CPM,21022,2006
Constituency_13,13,AITC,65654,2006
Constituency_13,13,DMK,25340,2006
Constituency_13,13,AIADMK,40381,2006
Constituency_13,13,OTHERS,93786,2006
Constituency_14,14,INC,11955,2006
Constituency_14,14,BJP,80962,2006
Constituency_14,14,CPM,38102,2006
Constituency_14,14,AITC,26732,2006
Constituency_14,14,DMK,29711,2006
Constituency_14,14,AIADMK,14078,2006
Constituency_14,14,OTHERS,21954,2006
Constituency_15,15,INC,91975,2006
Constituency_15,15,BJP,46766,2006
Constituency_15,15,CPM,48909,2006
Constituency_15,15,AITC,28725,2006
Constituency_15,15,DMK,20628,2006
Constituency_15,15,AIADMK,21285,2006
Constituency_15,15,OTHERS,44651,2006
Constituency_16,16,INC,15475,2006
Constituency_16,16,BJP,83081,2006
Constituency_16,16,CPM,50694,2006
Constituency_16,16,AITC,42924,2006
Constituency_16,16,DMK,99820,2006
Constituency_16,16,AIADMK,51799,2006
Constituency_16,16,OTHERS,31661,2006
Constituency_17,17,INC,41078,2006
Constituency_17,17,BJP,15295,2006
Constituency_17,17,CPM,68088,2006
Constituency_17,17,AITC,13435,2006
Constituency_17,17,DMK,67094,2006
Constituency_17,17,AIADMK,26491,2006
Constituency_17,17,OTHERS,30419,2006
Constituency_18,18,INC,37317,2006
Constituency_18,18,BJP,82252,2006
Constituency_18,18,CPM,59281,2006
Constituency_18,18,AITC,75246,2006
Constituency_18,18,DMK,98342,2006
Constituency_18,18,AIADMK,19383,2006
Constituency_18,18,OTHERS,39802,2006
Constituency_19,19,INC,12623,2006
Constituency_19,19,BJP,50271,2006
Constituency_19,19,CPM,23237,2006
Constituency_19,19,AITC,37707,2006
Constituency_19,19,DMK,14849,2006
Constituency_19,19,AIADMK,70035,2006
Constituency_19,19,OTHERS,80684,2006
Constituency_20,20,INC,30978,2006
Constituency_20,20,BJP,32276,2006
Constituency_20,20,CPM,38196,2006
Constituency_20,20,AITC,67798,2006
Constituency_20,20,DMK,30540,2006
Constituency_20,20,AIADMK,21246,2006
Constituency_20,20,OTHERS,68501,2006
Constituency_21,21,INC,63018,2006
Constituency_21,21,BJP,53961,2006
Constituency_21,21,CPM,57500,2006
