AC_NAME,AC_NO,PARTY,VOTES,YEAR
Constituency_1,1,INC,54097,2006
Constituency_1,1,BJP,46764,2006
Constituency_1,1,CPM,67978,2006
Constituency_1,1,AITC,59918,2006
Constituency_1,1,DMK,88324,2006
Constituency_1,1,AIADMK,91378,2006
Constituency_1,1,OTHERS,16176,2006
Constituency_2,2,INC,26068,2006
Constituency_2,2,BJP,26272,2006
Constituency_2,2,CPM,75323,2006
Constituency_2,2,AITC,69948,2006
Constituency_2,2,DMK,28003,2006
Constituency_2,2,AIADMK,20673,2006
Constituency_2,2,OTHERS,32882,2006
Constituency_3,3,INC,94418,2006
Constituency_3,3,BJP,69833,2006
Constituency_3,3,CPM,82746,2006
Constituency_3,3,AITC,93038,2006
Constituency_3,3,DMK,32872,2006
Constituency_3,3,AIADMK,56491,2006
Constituency_3,3,OTHERS,92043,2006
Constituency_4,4,INC,77012,2006
Constituency_4,4,BJP,41691,2006
Constituency_4,4,CPM,69410,2006
Constituency_4,4,AITC,59923,2006
Constituency_4,4,DMK,73372,2006
Constituency_4,4,AIADMK,37341,2006
Constituency_4,4,OTHERS,70743,2006
Constituency_5,5,INC,43377,2006
Constituency_5,5,BJP,25129,2006
Constituency_5,5,CPM,79054,2006
Constituency_5,5,AITC,30071,2006
Constituency_5,5,DMK,35502,2006
Constituency_5,5,AIADMK,85236,2006
Constituency_5,5,OTHERS,19874,2006
Constituency_6,6,INC,43824,2006
Constituency_6,6,BJP,14490,2006
Constituency_6,6,CPM,37095,2006
Constituency_6,6,AITC,80756,2006
Constituency_6,6,DMK,67274,2006
Constituency_6,6,AIADMK,33898,2006
Constituency_6,6,OTHERS,49171,2006
Constituency_7,7,INC,25659,2006
Constituency_7,7,BJP,28289,2006
Constituency_7,7,CPM,20664,2006
Constituency_7,7,AITC,63503,2006
Constituency_7,7,DMK,67303,2006
Constituency_7,7,AIADMK,90126,2006
Constituency_7,7,OTHERS,54934,2006
Constituency_8,8,INC,21185,2006
Constituency_8,8,BJP,97929,2006
Constituency_8,8,CPM,99666,2006
Constituency_8,8,AITC,26949,2006
Constituency_8,8,DMK,83230,2006
Constituency_8,8,AIADMK,97287,2006
Constituency_8,8,OTHERS,96561,2006
Constituency_9,9,INC,51614,2006
Constituency_9,9,BJP,14058,2006
Constituency_9,9,CPM,62597,2006
Constituency_9,9,AITC,25352,2006
Constituency_9,9,DMK,95382,2006
Constituency_9,9,AIADMK,33216,2006
Constituency_9,9,OTHERS,27480,2006
Constituency_10,10,INC,98712,2006
Constituency_10,10,BJP,65615,2006
Constituency_10,10,CPM,89990,2006
Constituency_10,10,AITC,86759,2006
Constituency_10,10,DMK,60670,2006
Constituency_10,10,AIADMK,11420,2006
Constituency_10,10,OTHERS,36167,2006
Constituency_11,11,INC,39584,2006
Constituency_11,11,BJP,69706,2006
Constituency_11,11,CPM,48320,2006
Constituency_11,11,AITC,97456,2006
Constituency_11,11,DMK,57786,2006
Constituency_11,11,AIADMK,16347,2006
Constituency_11,11,OTHERS,53108,2006
Constituency_12,12,INC,63155,2006
Constituency_12,12,BJP,53193,2006
Constituency_12,12,CPM,20273,2006
Constituency_12,12,AITC,76265,2006
Constituency_12,12,DMK,17954,2006
Constituency_12,12,AIADMK,77091,2006
Constituency_12,12,OTHERS,30009,2006
Constituency_13,13,INC,22780,2006
Constituency_13,13,BJP,40684,2006
Constituency_13,13,CPM,10376,2006
Constituency_13,13,AITC,22843,2006
Constituency_13,13,DMK,10659,2006
Constituency_13,13,AIADMK,41677,2006
Constituency_13,13,OTHERS,14488,2006
Constituency_14,14,INC,98734,2006
Constituency_14,14,BJP,57352,2006
Constituency_14,14,CPM,72873,2006
Constituency_14,14,AITC,34785,2006
Constituency_14,14,DMK,64969,2006
Constituency_14,14,AIADMK,97475,2006
Constituency_14,14,OTHERS,59459,2006
Constituency_15,15,INC,36492,2006
Constituency_15,15,BJP,16297,2006
Constituency_15,15,CPM,25117,2006
Constituency_15,15,AITC,48194,2006
Constituency_15,15,DMK,25272,2006
Constituency_15,15,AIADMK,24654,2006
Constituency_15,15,OTHERS,81242,2006
Constituency_16,16,INC,67510,2006
Constituency_16,16,BJP,66537,2006
Constituency_16,16,CPM,87926,2006
Constituency_16,16,AITC,42229,2006
Constituency_16,16,DMK,94741,2006
Constituency_16,16,AIADMK,41771,2006
Constituency_16,16,OTHERS,64813,2006
Constituency_17,17,INC,60655,2006
Constituency_17,17,BJP,88100,2006
Constituency_17,17,CPM,91369,2006
Constituency_17,17,AITC,37662,2006
Constituency_17,17,DMK,13143,2006
Constituency_17,17,AIADMK,44902,2006
Constituency_17,17,OTHERS,46275,2006
Constituency_18,18,INC,66395,2006
Constituency_18,18,BJP,22792,2006
Constituency_18,18,CPM,42329,2006
Constituency_18,18,AITC,38310,2006
Constituency_18,18,DMK,43442,2006
Constituency_18,18,AIADMK,15001,2006
Constituency_18,18,OTHERS,36748,2006
Constituency_19,19,INC,48797,2006
Constituency_19,19,BJP,15041,2006
Constituency_19,19,CPM,85179,2006
Constituency_19,19,AITC,30568,2006
Constituency_19,19,DMK,97354,2006
Constituency_19,19,AIADMK,27761,2006
Constituency_19,19,OTHERS,99222,2006
Constituency_20,20,INC,73896,2006
Constituency_20,20,BJP,14195,2006
Constituency_20,20,CPM,62338,2006
Constituency_20,20,AITC,17631,2006
Constituency_20,20,DMK,58581,2006
Constituency_20,20,AIADMK,32966,2006
Constituency_20,20,OTHERS,66142,2006
Constituency_21,21,INC,91089,2006
Constituency_21,21,BJP,53182,2006
Constituency_21,21,CPM,83806,2006
Constituency_21,21,AITC,55928,2006
Constituency_21,21,DMK,93320,2006
Constituency_21,21,AIADMK,89308,2006
Constituency_21,21,OTHERS,63686,2006
Constituency_22,22,INC,80125,2006
Constituency_22,22,BJP,76553,2006
Constituency_22,22,CPM,40456,2006
Constituency_22,22,AITC,83689,2006
Constituency_22,22,DMK,27181,2006
Constituency_22,22,AIADMK,13153,2006
Constituency_22,22,OTHERS,93323,2006
Constituency_23,23,INC,86815,2006
Constituency_23,23,BJP,38950,2006
Constituency_23,23,CPM,97826,2006
Constituency_23,23,AITC,79175,2006
Constituency_23,23,DMK,96173,2006
Constituency_23,23,AIADMK,14938,2006
Constituency_23,23,OTHERS,84128,2006
Constituency_24,24,INC,25249,2006
Constituency_24,24,BJP,10365,2006
Constituency_24,24,CPM,60787,2006
Constituency_24,24,AITC,19494,2006
Constituency_24,24,DMK,73515,2006
Constituency_24,24,AIADMK,10042,2006
Constituency_24,24,OTHERS,39521,2006
Constituency_25,25,INC,35746,2006
Constituency_25,25,BJP,98984,2006
Constituency_25,25,CPM,35140,2006
Constituency_25,25,AITC,49025,2006
Constituency_25,25,DMK,61528,2006
Constituency_25,25,AIADMK,49241,2006
Constituency_25,25,OTHERS,16401,2006
Constituency_26,26,INC,55596,2006
Constituency_26,26,BJP,18088,2006
Constituency_26,26,CPM,50256,2006
Constituency_26,26,AITC,27529,2006
Constituency_26,26,DMK,85696,2006
Constituency_26,26,AIADMK,93747,2006
Constituency_26,26,OTHERS,90266,2006
Constituency_27,27,INC,52210,2006
Constituency_27,27,BJP,23385,2006
Constituency_27,27,CPM,48414,2006
Constituency_27,27,AITC,72074,2006
Constituency_27,27,DMK,95940,2006
Constituency_27,27,AIADMK,51468,2006
Constituency_27,27,OTHERS,57248,2006
Constituency_28,28,INC,52745,2006
Constituency_28,28,BJP,36387,2006
Constituency_28,28,CPM,63062,2006
Constituency_28,28,AITC,57276,2006
Constituency_28,28,DMK,73080,2006
Constituency_28,28,AIADMK,62493,2006
Constituency_28,28,OTHERS,63563,2006
Constituency_29,29,INC,93018,2006
Constituency_29,29,BJP,30535,2006
Constituency_29,29,CPM,46289,2006
Constituency_29,29,AITC,74378,2006
Constituency_29,29,DMK,51832,2006
Constituency_29,29,AIADMK,11227,2006
Constituency_29,29,OTHERS,94298,2006
Constituency_30,30,INC,43128,2006
Constituency_30,30,BJP,86757,2006
Constituency_30,30,CPM,89797,2006
Constituency_30,30,AITC,62385,2006
Constituency_30,30,DMK,38089,2006
Constituency_30,30,AIADMK,71664,2006
Constituency_30,30,OTHERS,33615,2006
Constituency_31,31,INC,80168,2006
Constituency_31,31,BJP,35576,2006
Constituency_31,31,CPM,66027,2006
Constituency_31,31,AITC,49960,2006
Constituency_31,31,DMK,48902,2006
Constituency_31,31,AIADMK,72629,2006
Constituency_31,31,OTHERS,78582,2006
Constituency_32,32,INC,49972,2006
