AC_NAME,AC_NO,PARTY,VOTES,YEAR
Constituency_1,1,INC,47542,2011
Constituency_1,1,BJP,72827,2011
Constituency_1,1,CPM,86096,2011
Constituency_1,1,AITC,38007,2011
Constituency_1,1,DMK,38885,2011
Constituency_1,1,AIADMK,11785,2011
Constituency_1,1,OTHERS,95376,2011
Constituency_2,2,INC,53011,2011
Constituency_2,2,BJP,99205,2011
Constituency_2,2,CPM,98421,2011
Constituency_2,2,AITC,23633,2011
Constituency_2,2,DMK,47100,2011
Constituency_2,2,AIADMK,57118,2011
Constituency_2,2,OTHERS,40780,2011
Constituency_3,3,INC,12608,2011
Constituency_3,3,BJP,64153,2011
Constituency_3,3,CPM,90497,2011
Constituency_3,3,AITC,82650,2011
Constituency_3,3,DMK,99538,2011
Constituency_3,3,AIADMK,18232,2011
Constituency_3,3,OTHERS,30950,2011
Constituency_4,4,INC,96252,2011
Constituency_4,4,BJP,47223,2011
Constituency_4,4,CPM,40526,2011
Constituency_4,4,AITC,37383,2011
Constituency_4,4,DMK,79314,2011
Constituency_4,4,AIADMK,36811,2011
Constituency_4,4,OTHERS,98661,2011
Constituency_5,5,INC,60312,2011
Constituency_5,5,BJP,84384,2011
Constituency_5,5,CPM,50624,2011
Constituency_5,5,AITC,36244,2011
Constituency_5,5,DMK,95321,2011
Constituency_5,5,AIADMK,34057,2011
Constituency_5,5,OTHERS,80844,2011
Constituency_6,6,INC,97955,2011
Constituency_6,6,BJP,18163,2011
Constituency_6,6,CPM,89909,2011
Constituency_6,6,AITC,80729,2011
Constituency_6,6,DMK,11840,2011
Constituency_6,6,AIADMK,95184,2011
Constituency_6,6,OTHERS,72176,2011
Constituency_7,7,INC,13655,2011
Constituency_7,7,BJP,10482,2011
Constituency_7,7,CPM,31494,2011
Constituency_7,7,AITC,88800,2011
Constituency_7,7,DMK,55093,2011
Constituency_7,7,AIADMK,74237,2011
Constituency_7,7,OTHERS,82465,2011
Constituency_8,8,INC,78563,2011
Constituency_8,8,BJP,14957,2011
Constituency_8,8,CPM,68908,2011
Constituency_8,8,AITC,21731,2011
Constituency_8,8,DMK,71645,2011
Constituency_8,8,AIADMK,48585,2011
Constituency_8,8,OTHERS,84446,2011
Constituency_9,9,INC,99264,2011
Constituency_9,9,BJP,45507,2011
Constituency_9,9,CPM,98255,2011
Constituency_9,9,AITC,91850,2011
Constituency_9,9,DMK,58822,2011
Constituency_9,9,AIADMK,54372,2011
Constituency_9,9,OTHERS,93017,2011
Constituency_10,10,INC,11372,2011
Constituency_10,10,BJP,71318,2011
Constituency_10,10,CPM,51810,2011
Constituency_10,10,AITC,29921,2011
Constituency_10,10,DMK,71347,2011
Constituency_10,10,AIADMK,91625,2011
Constituency_10,10,OTHERS,46988,2011
Constituency_11,11,INC,77374,2011
Constituency_11,11,BJP,94851,2011
Constituency_11,11,CPM,63129,2011
Constituency_11,11,AITC,66539,2011
Constituency_11,11,DMK,36172,2011
Constituency_11,11,AIADMK,79971,2011
Constituency_11,11,OTHERS,69219,2011
Constituency_12,12,INC,15327,2011
Constituency_12,12,BJP,62155,2011
Constituency_12,12,CPM,24366,2011
Constituency_12,12,AITC,65525,2011
Constituency_12,12,DMK,92179,2011
Constituency_12,12,AIADMK,52439,2011
Constituency_12,12,OTHERS,84879,2011
Constituency_13,13,INC,44554,2011
Constituency_13,13,BJP,34518,2011
Constituency_13,13,CPM,82379,2011
Constituency_13,13,AITC,12819,2011
Constituency_13,13,DMK,66851,2011
Constituency_13,13,AIADMK,66738,2011
Constituency_13,13,OTHERS,74452,2011
Constituency_14,14,INC,44360,2011
Constituency_14,14,BJP,29704,2011
Constituency_14,14,CPM,59139,2011
Constituency_14,14,AITC,16322,2011
Constituency_14,14,DMK,93985,2011
Constituency_14,14,AIADMK,37512,2011
Constituency_14,14,OTHERS,29507,2011
Constituency_15,15,INC,51968,2011
Constituency_15,15,BJP,36192,2011
Constituency_15,15,CPM,35796,2011
Constituency_15,15,AITC,27518,2011
Constituency_15,15,DMK,86109,2011
Constituency_15,15,AIADMK,38711,2011
Constituency_15,15,OTHERS,67783,2011
Constituency_16,16,INC,73764,2011
Constituency_16,16,BJP,34794,2011
