AC_NAME,AC_NO,PARTY,VOTES,YEAR
Constituency_1,1,INC,74892,2006
Constituency_1,1,BJP,41917,2006
Constituency_1,1,CPM,82369,2006
Constituency_1,1,AITC,57968,2006
Constituency_1,1,DMK,57529,2006
Constituency_1,1,AIADMK,69142,2006
Constituency_1,1,OTHERS,31782,2006
Constituency_2,2,INC,18585,2006
Constituency_2,2,BJP,16360,2006
Constituency_2,2,CPM,61299,2006
Constituency_2,2,AITC,77150,2006
Constituency_2,2,DMK,46636,2006
Constituency_2,2,AIADMK,40878,2006
Constituency_2,2,OTHERS,63437,2006
Constituency_3,3,INC,74547,2006
Constituency_3,3,BJP,28488,2006
Constituency_3,3,CPM,62778,2006
Constituency_3,3,AITC,69817,2006
Constituency_3,3,DMK,56925,2006
Constituency_3,3,AIADMK,12934,2006
Constituency_3,3,OTHERS,30056,2006
Constituency_4,4,INC,79262,2006
Constituency_4,4,BJP,84098,2006
Constituency_4,4,CPM,42451,2006
Constituency_4,4,AITC,41458,2006
Constituency_4,4,DMK,57527,2006
Constituency_4,4,AIADMK,23790,2006
Constituency_4,4,OTHERS,37658,2006
Constituency_5,5,INC,80177,2006
Constituency_5,5,BJP,55816,2006
Constituency_5,5,CPM,45995,2006
Constituency_5,5,AITC,33070,2006
Constituency_5,5,DMK,91047,2006
Constituency_5,5,AIADMK,66049,2006
Constituency_5,5,OTHERS,77299,2006
Constituency_6,6,INC,11831,2006
Constituency_6,6,BJP,38170,2006
Constituency_6,6,CPM,59946,2006
Constituency_6,6,AITC,55641,2006
Constituency_6,6,DMK,66669,2006
Constituency_6,6,AIADMK,17986,2006
Constituency_6,6,OTHERS,77667,2006
Constituency_7,7,INC,78047,2006
Constituency_7,7,BJP,65218,2006
Constituency_7,7,CPM,73433,2006
Constituency_7,7,AITC,90998,2006
Constituency_7,7,DMK,43327,2006
Constituency_7,7,AIADMK,69623,2006
Constituency_7,7,OTHERS,39968,2006
Constituency_8,8,INC,44470,2006
Constituency_8,8,BJP,57723,2006
Constituency_8,8,CPM,76308,2006
Constituency_8,8,AITC,11690,2006
Constituency_8,8,DMK,76159,2006
Constituency_8,8,AIADMK,17273,2006
Constituency_8,8,OTHERS,32636,2006
