State,Year,Party,Votes,Seats
West Bengal,2009,INC,2532678,35
West Bengal,2009,BJP,3201231,33
West Bengal,2009,CPM,3694013,26
West Bengal,2009,AITC,2794460,41
West Bengal,2009,DMK,3247354,20
West Bengal,2009,AIADMK,4526758,10
West Bengal,2009,OTHERS,4808183,19
Assam,2009,INC,4652888,33
Assam,2009,BJP,2360450,35
Assam,2009,CPM,4960344,24
Assam,2009,AITC,1687024,37
Assam,2009,DMK,2732474,18
Assam,2009,AIADMK,2604885,4
Assam,2009,OTHERS,4356330,40
Tamil Nadu,2009,INC,2377519,10
Tamil Nadu,2009,BJP,2656649,16
Tamil Nadu,2009,CPM,1580505,19
Tamil Nadu,2009,AITC,676043,11
Tamil Nadu,2009,DMK,2924148,27
Tamil Nadu,2009,AIADMK,3644462,29
Tamil Nadu,2009,OTHERS,3682346,27
Kerala,2009,INC,1605925,35
Kerala,2009,BJP,2161501,41
Kerala,2009,CPM,2200519,23
Kerala,2009,AITC,1088660,41
Kerala,2009,DMK,3310902,40
Kerala,2009,AIADMK,743350,29
Kerala,2009,OTHERS,2120244,33
