34 - Details Of Assembly Segment Of PC,,,,,,,,,,,
State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,APPALANARASA PACHIPENTA,CPI(M),3873
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,AVASHYA LAHARI . VARAM,BSP,1155
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,KOTHAPALLI GEETHA,BJP,66695
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,GUMMA THANUJA RANI,YSRCP,63302
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,CHANTI BADNAINA,JBNP,1977
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,MOTTADAM . RAJABABU,BHRTADVSIP,463
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,RAMBABU JALLI,TLRDSMTP,836
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,358
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,ATHIDHI,IND,492
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,NIMMAKA JAYARAJU,IND,891
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,MANDALA GIRIDHARA RAO,IND,410
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,RANJITH KUMAR PALAKA,IND,479
Andhra Pradesh,1,Araku,1557153,10,Palakonda,195673,33327256,4441,SAMAREDDY BALAKRISHNA,IND,1211
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,APPALANARASA PACHIPENTA,CPI(M),8996
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,AVASHYA LAHARI . VARAM,BSP,1987
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,KOTHAPALLI GEETHA,BJP,64778
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,GUMMA THANUJA RANI,YSRCP,61917
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,CHANTI BADNAINA,JBNP,579
Andhra Pradesh,1,Araku,1557153,11,Kurupam,194616,33327256,5463,MOTTADAM . RAJABABU,BHRTADVSIP,686
