state,constituency,candidate,party,party_normalized,alliance,votes,vote_share,total_votes,turnout,is_winner,position,margin,margin_pct,year
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 1 (SP),SP,SP,INDIA,349091,30.51,1144209,77.9,True,1,11329,0.99,2024
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 2 (BJP),BJP,BJP,NDA,337762,29.52,1144209,57.8,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 3 (TMC),TMC,TMC,INDIA,311696,27.24,1144209,68.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 4 (INC),INC,INC,INDIA,145657,12.73,1144209,74.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 1 (INC),INC,INC,INDIA,283780,30.07,943795,66.1,True,1,80980,8.58,2024
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 2 (AIADMK),AIADMK,AIADMK,,202800,21.49,943795,56.6,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 3 (DMK),DMK,DMK,INDIA,195193,20.68,943795,56.4,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 4 (BJP),BJP,BJP,NDA,135817,14.39,943795,75.1,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 5 (SP),SP,SP,INDIA,126202,13.37,943795,57.4,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 1 (YSR),YSR,YSR,,290895,25.71,1131378,61.4,True,1,71192,6.29,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 2 (INC),INC,INC,INDIA,219703,19.42,1131378,71.5,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 3 (BJP),BJP,BJP,NDA,200773,17.75,1131378,68.0,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 4 (AIADMK),AIADMK,AIADMK,,183396,16.21,1131378,69.8,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 5 (OTH),OTH,OTH,,150977,13.34,1131378,72.0,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 6 (TMC),TMC,TMC,INDIA,85631,7.57,1131378,60.4,False,6,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 1 (TMC),TMC,TMC,INDIA,169806,31.74,534916,63.7,True,1,4029,0.75,2024
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 2 (YSR),YSR,YSR,,165777,30.99,534916,64.0,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 3 (BJP),BJP,BJP,NDA,159493,29.82,534916,72.3,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 4 (OTH),OTH,OTH,,39839,7.45,534916,76.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 1 (BJP),BJP,BJP,NDA,401764,38.96,1031278,56.7,True,1,71332,6.92,2024
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 2 (SP),SP,SP,INDIA,330432,32.04,1031278,65.6,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 3 (YSR),YSR,YSR,,299080,29.0,1031278,66.8,False,3,0,0,2024
